,train_example,label
0,../../data/interim/0.png,1
1,../../data/interim/1.png,1
2,../../data/interim/2.png,1
3,../../data/interim/3.png,1
4,../../data/interim/4.png,1
5,../../data/interim/5.png,1
6,../../data/interim/6.png,1
7,../../data/interim/7.png,1
8,../../data/interim/8.png,1
9,../../data/interim/9.png,1
10,../../data/interim/10.png,1
11,../../data/interim/11.png,1
12,../../data/interim/12.png,1
13,../../data/interim/13.png,1
14,../../data/interim/14.png,1
15,../../data/interim/15.png,1
16,../../data/interim/16.png,1
17,../../data/interim/17.png,1
18,../../data/interim/18.png,1
19,../../data/interim/19.png,1
20,../../data/interim/20.png,1
21,../../data/interim/21.png,1
22,../../data/interim/22.png,1
23,../../data/interim/23.png,1
24,../../data/interim/24.png,1
25,../../data/interim/25.png,1
26,../../data/interim/26.png,1
27,../../data/interim/27.png,1
28,../../data/interim/28.png,1
29,../../data/interim/29.png,1
30,../../data/interim/30.png,1
